Date,Temperature, ,
2009/7/2,21.2,8,1
2009/7/3,23.2,8,1
2009/7/4,24.0,8,1
2009/7/5,23.8,8,1
2009/7/6,23.7,8,1
2009/7/7,26.9,8,1
2009/7/8,26.5,8,1
2009/7/9,27.9,8,1
2009/7/10,28.3,8,1
2009/7/11,25.3,8,1
2009/7/12,25.5,8,1
2009/7/13,28.9,8,1
2009/7/14,27.6,8,1
2009/7/15,29.1,8,1
2009/7/16,29.3,8,1
2009/7/17,25.9,8,1
2009/7/18,27.7,8,1
2009/7/19,29.4,8,1
2009/7/20,27.1,8,1
2009/7/21,22.8,8,1
2009/7/22,24.1,8,1
2009/7/23,25.6,8,1
2009/7/24,26.3,8,1
2009/7/25,28.1,8,1
2009/7/26,29.6,8,1
2009/7/27,27.2,8,1
2009/7/28,26.7,8,1
2009/7/29,28.2,8,1
2009/7/30,28.4,8,1
2009/7/31,23.3,8,1
2009/8/1,24.6,8,1
2009/8/2,24.3,8,1
2009/8/3,26.3,8,1
2009/8/4,26.0,8,1
2009/8/5,27.5,8,1
2009/8/6,27.5,8,1
2009/8/7,28.6,8,1
2009/8/8,27.6,8,1
2009/8/9,28.3,8,1
2009/8/10,27.1,8,1
2009/8/11,26.7,8,1
2009/8/12,26.6,8,1
2009/8/13,28.2,8,1
2009/8/14,28.6,8,1
2009/8/15,27.2,8,1
2009/8/16,27.8,8,1
2009/8/17,26.5,8,1
2009/8/18,26.6,8,1
2009/8/19,27.3,8,1
2009/8/20,27.6,8,1
2009/8/21,28.9,8,1
2009/8/22,28.9,8,1
2009/8/23,27.2,8,1
2009/8/24,26.0,8,1
2009/8/25,24.8,8,1
2009/8/26,24.4,8,1
2009/8/27,25.3,8,1
2009/8/28,27.4,8,1
2009/8/29,28.6,8,1
2009/8/30,23.3,8,1
2009/8/31,19.1,8,1
2009/9/1,25.7,8,1
2009/9/2,22.3,8,1
2009/9/3,22.2,8,1
2009/9/4,23.2,8,1
2009/9/5,24.4,8,1
2009/9/6,24.4,8,1
2009/9/7,24.9,8,1
2009/9/8,24.8,8,1
2009/9/9,22.6,8,1
2009/9/10,24.1,8,1
2009/9/11,23.9,8,1
2009/9/12,21.4,8,1
2009/9/13,23.7,8,1
2009/9/14,23.2,8,1
2009/9/15,21.9,8,1
2009/9/16,23.7,8,1
2009/9/17,22.5,8,1
2009/9/18,20.9,8,1
2009/9/19,21.7,8,1
2009/9/20,22.4,8,1
2009/9/21,21.3,8,1
2009/9/22,23.3,8,1
2009/9/23,23.9,8,1
2009/9/24,23.3,8,1
2009/9/25,23.3,8,1
2009/9/26,23.4,8,1
2009/9/27,21.9,8,1
2009/9/28,23.4,8,1
2009/9/29,23.1,8,1
2009/9/30,20.2,8,1
2009/10/1,20.8,8,1
2009/10/2,21.3,8,1
2009/10/3,22.8,8,1
2009/10/4,22.4,8,1
2009/10/5,19.6,8,1
2009/10/6,17.8,8,1
2009/10/7,17.6,8,1
2009/10/8,21.2,8,1
2009/10/9,20.4,8,1
2009/10/10,17.7,8,1
2009/10/11,18.9,8,1
2009/10/12,18.5,8,1
2009/10/13,19.8,8,1
2009/10/14,18.2,8,1
2009/10/15,18.1,8,1
2009/10/16,18.6,8,1
2009/10/17,18.4,8,1
2009/10/18,19.7,8,1
2009/10/19,19.7,8,1
2009/10/20,21.9,8,1
2009/10/21,19.3,8,1
2009/10/22,18.5,8,1
2009/10/23,17.7,8,1
2009/10/24,16.1,8,1
2009/10/25,14.8,8,1
2009/10/26,14.4,8,1
2009/10/27,19.1,8,1
2009/10/28,18.4,8,1
2009/10/29,17.8,8,1
2009/10/30,19.9,8,1
2009/10/31,18.2,8,1
2009/11/1,19.6,8,1
2009/11/2,12.9,8,1
2009/11/3,10.2,8,1
2009/11/4,11.9,8,1
2009/11/5,13.5,8,1
2009/11/6,15.4,8,1
2009/11/7,16.5,8,1
2009/11/8,16.9,8,1
2009/11/9,17.8,8,1
2009/11/10,18.7,8,1
2009/11/11,17.3,8,1
2009/11/12,13.2,8,1
2009/11/13,11.2,8,1
2009/11/14,16.9,8,1
2009/11/15,16.9,8,1
2009/11/16,14.4,8,1
2009/11/17,10.3,8,1
2009/11/18,11.5,8,1
2009/11/19,8.2,8,1
2009/11/20,10.5,8,1
2009/11/21,12.2,8,1
2009/11/22,8.4,8,1
2009/11/23,11.2,8,1
2009/11/24,11.8,8,1
2009/11/25,13.4,8,1
2009/11/26,14.6,8,1
2009/11/27,14.1,8,1
2009/11/28,13.8,8,1
2009/11/29,10.6,8,1
2009/11/30,9.6,8,1
2009/12/1,11.5,8,1
2009/12/2,12.0,8,1
2009/12/3,10.1,8,1
2009/12/4,11.7,8,1
2009/12/5,10.3,8,1
2009/12/6,11.2,8,1
2009/12/7,10.3,8,1
2009/12/8,10.1,8,1
2009/12/9,10.2,8,1
2009/12/10,11.0,8,1
2009/12/11,8.1,8,1
2009/12/12,13.0,8,1
2009/12/13,11.2,8,1
2009/12/14,8.9,8,1
2009/12/15,7.9,8,1
2009/12/16,6.9,8,1
2009/12/17,7.0,8,1
2009/12/18,6.2,8,1
2009/12/19,5.2,8,1
2009/12/20,6.3,8,1
2009/12/21,5.9,8,1
2009/12/22,6.4,8,1
2009/12/23,7.7,8,1
2009/12/24,9.9,8,1
2009/12/25,9.2,8,1
2009/12/26,9.4,8,1
2009/12/27,9.4,8,1
2009/12/28,9.4,8,1
2009/12/29,8.1,8,1
2009/12/30,9.2,8,1
2009/12/31,6.2,8,1
2010/1/1,4.8,8,1
2010/1/2,6.3,8,1
2010/1/3,5.7,8,1
2010/1/4,6.5,8,1
2010/1/5,7.3,8,1
2010/1/6,6.5,8,1
2010/1/7,7.3,8,1
2010/1/8,7.6,8,1
2010/1/9,7.2,8,1
2010/1/10,7.0,8,1
2010/1/11,5.3,8,1
2010/1/12,3.9,8,1
2010/1/13,5.3,8,1
2010/1/14,3.8,8,1
2010/1/15,4.6,8,1
2010/1/16,3.8,8,1
2010/1/17,4.9,8,1
2010/1/18,5.3,8,1
2010/1/19,8.4,8,1
2010/1/20,11.6,8,1
2010/1/21,13.0,8,1
2010/1/22,7.0,8,1
2010/1/23,6.3,8,1
2010/1/24,7.0,8,1
2010/1/25,8.2,8,1
2010/1/26,6.7,8,1
2010/1/27,7.2,8,1
2010/1/28,12.2,8,1
2010/1/29,8.9,8,1
2010/1/30,8.9,8,1
2010/1/31,9.2,8,1
2010/2/1,5.9,8,1
2010/2/2,4.2,8,1
2010/2/3,3.7,8,1
2010/2/4,2.9,8,1
2010/2/5,4.9,8,1
2010/2/6,3.2,8,1
2010/2/7,4.9,8,1
2010/2/8,6.3,8,1
2010/2/9,11.8,8,1
2010/2/10,8.5,8,1
2010/2/11,4.5,8,1
2010/2/12,3.5,8,1
2010/2/13,2.2,8,1
2010/2/14,4.6,8,1
2010/2/15,5.3,8,1
2010/2/16,3.9,8,1
2010/2/17,3.1,8,1
2010/2/18,3.5,8,1
2010/2/19,5.7,8,1
2010/2/20,7.0,8,1
2010/2/21,6.1,8,1
2010/2/22,6.5,8,1
2010/2/23,9.7,8,1
2010/2/24,12.0,8,1
2010/2/25,13.9,8,1
2010/2/26,16.9,8,1
2010/2/27,10.9,8,1
2010/2/28,6.4,8,1
2010/3/1,9.0,8,1
2010/3/2,5.3,8,1
2010/3/3,8.4,8,1
2010/3/4,7.6,8,1
2010/3/5,12.5,8,1
2010/3/6,11.4,8,1
2010/3/7,6.2,8,1
2010/3/8,5.5,8,1
2010/3/9,3.5,8,1
2010/3/10,5.3,8,1
2010/3/11,8.6,8,1
2010/3/12,10.3,8,1
2010/3/13,16.1,8,1
2010/3/14,10.7,8,1
2010/3/15,13.7,8,1
2010/3/16,15.5,8,1
2010/3/17,9.8,8,1
2010/3/18,9.6,8,1
2010/3/19,8.7,8,1
2010/3/20,15.2,8,1
2010/3/21,15.3,8,1
2010/3/22,9.8,8,1
2010/3/23,10.9,8,1
2010/3/24,6.9,8,1
2010/3/25,5.3,8,1
2010/3/26,7.9,8,1
2010/3/27,8.1,8,1
2010/3/28,5.5,8,1
2010/3/29,4.4,8,1
2010/3/30,5.9,8,1
2010/3/31,9.1,8,1
2010/4/1,14.7,8,1
2010/4/2,15.2,8,1
2010/4/3,11.1,8,1
2010/4/4,8.8,8,1
2010/4/5,9.4,8,1
2010/4/6,14.8,8,1
2010/4/7,11.6,8,1
2010/4/8,8.9,8,1
2010/4/9,11.1,8,1
2010/4/10,15.6,8,1
2010/4/11,17.2,8,1
2010/4/12,8.6,8,1
2010/4/13,15.1,8,1
2010/4/14,13.9,8,1
2010/4/15,6.9,8,1
2010/4/16,5.2,8,1
2010/4/17,6.3,8,1
2010/4/18,12.0,8,1
2010/4/19,15.2,8,1
2010/4/20,15.6,8,1
2010/4/21,18.8,8,1
2010/4/22,9.1,8,1
2010/4/23,8.2,8,1
2010/4/24,11.2,8,1
2010/4/25,12.7,8,1
2010/4/26,14.4,8,1
2010/4/27,12.7,8,1
2010/4/28,14.1,8,1
2010/4/29,18.2,8,1
2010/4/30,15.2,8,1
2010/5/1,16.4,8,1
2010/5/2,17.9,8,1
2010/5/3,19.0,8,1
2010/5/4,20.6,8,1
2010/5/5,21.9,8,1
2010/5/6,22.4,8,1
2010/5/7,20.4,8,1
2010/5/8,19.7,8,1
2010/5/9,20.7,8,1
2010/5/10,19.1,8,1
2010/5/11,17.1,8,1
2010/5/12,16.4,8,1
2010/5/13,16.5,8,1
2010/5/14,15.4,8,1
2010/5/15,15.1,8,1
2010/5/16,17.3,8,1
2010/5/17,20.7,8,1
2010/5/18,21.6,8,1
2010/5/19,20.3,8,1
2010/5/20,20.2,8,1
2010/5/21,24.3,8,1
2010/5/22,23.4,8,1
2010/5/23,18.3,8,1
2010/5/24,18.1,8,1
2010/5/25,23.5,8,1
2010/5/26,17.6,8,1
2010/5/27,17.6,8,1
2010/5/28,18.5,8,1
2010/5/29,15.6,8,1
2010/5/30,14.5,8,1
2010/5/31,17.4,8,1
2010/6/1,17.6,8,1
2010/6/2,19.1,8,1
2010/6/3,20.9,8,1
2010/6/4,22.1,8,1
2010/6/5,20.2,8,1
2010/6/6,21.4,8,1
2010/6/7,23.1,8,1
2010/6/8,21.4,8,1
2010/6/9,20.0,8,1
2010/6/10,22.6,8,1
2010/6/11,22.6,8,1
2010/6/12,24.5,8,1
2010/6/13,23.2,8,1
2010/6/14,18.6,8,1
2010/6/15,23.1,8,1
2010/6/16,25.8,8,1
2010/6/17,26.7,8,1
2010/6/18,24.4,8,1
2010/6/19,25.2,8,1
2010/6/20,26.2,8,1
2010/6/21,25.9,8,1
2010/6/22,26.1,8,1
2010/6/23,24.2,8,1
2010/6/24,25.1,8,1
2010/6/25,26.2,8,1
2010/6/26,26.2,8,1
2010/6/27,26.6,8,1
2010/6/28,28.0,8,1
2010/6/29,26.4,8,1
2010/6/30,25.6,8,1
2010/7/1,27.0,8,1
2010/7/2,26.6,8,1
2010/7/3,26.2,8,1
2010/7/4,27.2,8,1
2010/7/5,26.8,8,1
2010/7/6,27.1,8,1
2010/7/7,25.4,8,1
2010/7/8,26.4,8,1
2010/7/9,25.5,8,1
2010/7/10,27.3,8,1
2010/7/11,26.3,8,1
2010/7/12,27.4,8,1
2010/7/13,23.8,8,1
2010/7/14,26.1,8,1
2010/7/15,28.4,8,1
2010/7/16,28.5,8,1
2010/7/17,28.3,8,1
2010/7/18,28.3,8,1
2010/7/19,29.8,8,1
2010/7/20,30.8,8,1
2010/7/21,31.5,8,1
2010/7/22,31.4,8,1
2010/7/23,30.8,8,1
2010/7/24,30.8,8,1
2010/7/25,29.5,8,1
2010/7/26,28.6,8,1
2010/7/27,29.8,8,1
2010/7/28,30.0,8,1
2010/7/29,26.3,8,1
2010/7/30,26.8,8,1
2010/7/31,29.2,8,1
2010/8/1,29.8,8,1
2010/8/2,29.4,8,1
2010/8/3,29.5,8,1
2010/8/4,29.8,8,1
2010/8/5,30.0,8,1
2010/8/6,29.6,8,1
2010/8/7,29.2,8,1
2010/8/8,29.2,8,1
2010/8/9,26.3,8,1
2010/8/10,27.7,8,1
2010/8/11,28.9,8,1
2010/8/12,28.7,8,1
2010/8/13,28.3,8,1
2010/8/14,29.4,8,1
2010/8/15,31.4,8,1
2010/8/16,32.2,8,1
2010/8/17,32.3,8,1
2010/8/18,30.4,8,1
2010/8/19,28.7,8,1
2010/8/20,27.8,8,1
2010/8/21,28.6,8,1
2010/8/22,29.9,8,1
2010/8/23,30.3,8,1
2010/8/24,29.7,8,1
2010/8/25,30.1,8,1
2010/8/26,29.9,8,1
2010/8/27,30.0,8,1
2010/8/28,30.1,8,1
2010/8/29,30.2,8,1
2010/8/30,30.5,8,1
2010/8/31,30.8,8,1
2010/9/1,30.4,8,1
2010/9/2,30.1,8,1
2010/9/3,30.5,8,1
2010/9/4,31.2,8,1
2010/9/5,30.1,8,1
2010/9/6,29.8,8,1
2010/9/7,31.0,8,1
2010/9/8,25.8,8,1
2010/9/9,24.6,8,1
2010/9/10,26.0,8,1
2010/9/11,28.4,8,1
2010/9/12,28.1,8,1
2010/9/13,28.7,8,1
2010/9/14,25.8,8,1
2010/9/15,23.0,8,1
2010/9/16,20.6,8,1
2010/9/17,24.5,8,1
2010/9/18,25.9,8,1
2010/9/19,26.0,8,1
2010/9/20,25.9,8,1
2010/9/21,27.8,8,1
2010/9/22,28.1,8,1
2010/9/23,19.8,8,1
2010/9/24,18.3,8,1
2010/9/25,17.8,8,1
2010/9/26,19.3,8,1
2010/9/27,16.3,8,1
2010/9/28,18.9,8,1
2010/9/29,22.4,8,1
2010/9/30,19.2,8,1
2010/10/1,20.9,8,1
2010/10/2,21.2,8,1
2010/10/3,20.9,8,1
2010/10/4,20.4,8,1
2010/10/5,22.6,8,1
2010/10/6,22.0,8,1
2010/10/7,21.1,8,1
2010/10/8,20.9,8,1
2010/10/9,17.5,8,1
2010/10/10,19.8,8,1
2010/10/11,23.4,8,1
2010/10/12,22.5,8,1
2010/10/13,23.0,8,1
2010/10/14,21.4,8,1
2010/10/15,21.3,8,1
2010/10/16,21.4,8,1
2010/10/17,20.9,8,1
2010/10/18,19.4,8,1
2010/10/19,18.6,8,1
2010/10/20,18.9,8,1
2010/10/21,18.4,8,1
2010/10/22,17.7,8,1
2010/10/23,16.4,8,1
2010/10/24,15.4,8,1
2010/10/25,17.9,8,1
2010/10/26,16.7,8,1
2010/10/27,12.6,8,1
2010/10/28,10.0,8,1
2010/10/29,13.9,8,1
2010/10/30,12.3,8,1
2010/10/31,15.9,8,1
2010/11/1,16.6,8,1
2010/11/2,16.6,8,1
2010/11/3,14.6,8,1
2010/11/4,12.1,8,1
2010/11/5,13.9,8,1
2010/11/6,15.4,8,1
2010/11/7,14.9,8,1
2010/11/8,16.1,8,1
2010/11/9,16.8,8,1
2010/11/10,14.3,8,1
2010/11/11,14.1,8,1
2010/11/12,15.3,8,1
2010/11/13,16.2,8,1
2010/11/14,15.6,8,1
2010/11/15,11.9,8,1
2010/11/16,10.0,8,1
2010/11/17,8.8,8,1
2010/11/18,10.9,8,1
2010/11/19,11.7,8,1
2010/11/20,13.3,8,1
2010/11/21,14.1,8,1
2010/11/22,14.1,8,1
2010/11/23,13.8,8,1
2010/11/24,11.3,8,1
2010/11/25,10.6,8,1
2010/11/26,12.8,8,1
2010/11/27,12.1,8,1
2010/11/28,13.1,8,1
2010/11/29,12.3,8,1
2010/11/30,12.2,8,1
2010/12/1,13.5,8,1
2010/12/2,13.9,8,1
2010/12/3,17.0,8,1
2010/12/4,12.4,8,1
2010/12/5,11.7,8,1
2010/12/6,12.9,8,1
2010/12/7,12.2,8,1
2010/12/8,9.2,8,1
2010/12/9,9.1,8,1
2010/12/10,10.6,8,1
2010/12/11,13.1,8,1
2010/12/12,11.9,8,1
2010/12/13,8.2,8,1
2010/12/14,11.2,8,1
2010/12/15,10.6,8,1
2010/12/16,6.1,8,1
2010/12/17,7.0,8,1
2010/12/18,8.2,8,1
2010/12/19,7.4,8,1
2010/12/20,10.7,8,1
2010/12/21,9.9,8,1
2010/12/22,13.3,8,1
2010/12/23,12.1,8,1
2010/12/24,8.2,8,1
2010/12/25,5.6,8,1
2010/12/26,6.7,8,1
2010/12/27,7.2,8,1
2010/12/28,7.2,8,1
2010/12/29,8.1,8,1
2010/12/30,4.9,8,1
2010/12/31,5.8,8,1
2011/1/1,6.6,8,1
2011/1/2,7.0,8,1
2011/1/3,5.9,8,1
2011/1/4,6.3,8,1
2011/1/5,7.3,8,1
2011/1/6,6.5,8,1
2011/1/7,4.0,8,1
2011/1/8,5.9,8,1
2011/1/9,6.1,8,1
2011/1/10,3.4,8,1
2011/1/11,3.8,8,1
2011/1/12,5.1,8,1
2011/1/13,4.4,8,1
2011/1/14,3.8,8,1
2011/1/15,4.0,8,1
2011/1/16,2.2,8,1
2011/1/17,5.0,8,1
2011/1/18,5.5,8,1
2011/1/19,6.3,8,1
2011/1/20,5.4,8,1
2011/1/21,5.0,8,1
2011/1/22,6.0,8,1
2011/1/23,5.7,8,1
2011/1/24,5.1,8,1
2011/1/25,5.9,8,1
2011/1/26,5.3,8,1
2011/1/27,5.5,8,1
2011/1/28,3.7,8,1
2011/1/29,4.2,8,1
2011/1/30,2.9,8,1
2011/1/31,2.9,8,1
2011/2/1,5.9,8,1
2011/2/2,5.8,8,1
2011/2/3,7.4,8,1
2011/2/4,8.8,8,1
2011/2/5,8.1,8,1
2011/2/6,8.3,8,1
2011/2/7,8.2,8,1
2011/2/8,5.8,8,1
2011/2/9,5.0,8,1
2011/2/10,6.5,8,1
2011/2/11,2.0,8,1
2011/2/12,2.1,8,1
2011/2/13,4.7,8,1
2011/2/14,3.3,8,1
2011/2/15,5.3,8,1
2011/2/16,6.8,8,1
2011/2/17,10.0,8,1
2011/2/18,9.1,8,1
2011/2/19,6.1,8,1
2011/2/20,7.0,8,1
2011/2/21,7.1,8,1
2011/2/22,6.5,8,1
2011/2/23,8.4,8,1
2011/2/24,11.4,8,1
2011/2/25,14.1,8,1
2011/2/26,7.2,8,1
2011/2/27,10.4,8,1
2011/2/28,4.9,8,1
2011/3/1,5.8,8,1
2011/3/2,6.8,8,1
2011/3/3,4.4,8,1
2011/3/4,4.6,8,1
2011/3/5,7.4,8,1
2011/3/6,9.3,8,1
2011/3/7,4.5,8,1
2011/3/8,6.9,8,1
2011/3/9,7.4,8,1
2011/3/10,6.2,8,1
2011/3/11,6.5,8,1
2011/3/12,8.2,8,1
2011/3/13,11.3,8,1
2011/3/14,14.1,8,1
2011/3/15,10.9,8,1
2011/3/16,7.5,8,1
2011/3/17,4.6,8,1
2011/3/18,6.1,8,1
2011/3/19,12.3,8,1
2011/3/20,13.7,8,1
2011/3/21,9.6,8,1
2011/3/22,6.9,8,1
2011/3/23,6.4,8,1
2011/3/24,5.4,8,1
2011/3/25,8.1,8,1
2011/3/26,7.4,8,1
2011/3/27,7.4,8,1
2011/3/28,8.6,8,1
2011/3/29,10.9,8,1
2011/3/30,11.6,8,1
2011/3/31,9.7,8,1
2011/4/1,11.2,8,1
2011/4/2,13.4,8,1
2011/4/3,7.9,8,1
2011/4/4,9.0,8,1
2011/4/5,10.1,8,1
2011/4/6,13.7,8,1
2011/4/7,15.7,8,1
2011/4/8,17.2,8,1
2011/4/9,16.1,8,1
2011/4/10,13.7,8,1
2011/4/11,13.7,8,1
2011/4/12,11.4,8,1
2011/4/13,14.3,8,1
2011/4/14,16.7,8,1
2011/4/15,18.4,8,1
2011/4/16,18.6,8,1
2011/4/17,13.6,8,1
2011/4/18,14.9,8,1
2011/4/19,10.8,8,1
2011/4/20,10.9,8,1
2011/4/21,12.4,8,1
2011/4/22,15.5,8,1
2011/4/23,16.5,8,1
2011/4/24,16.1,8,1
2011/4/25,15.0,8,1
2011/4/26,16.2,8,1
2011/4/27,20.1,8,1
2011/4/28,19.8,8,1
2011/4/29,15.1,8,1
2011/4/30,17.6,8,1
2011/5/1,18.4,8,1
2011/5/2,19.6,8,1
2011/5/3,15.8,8,1
2011/5/4,17.3,8,1
2011/5/5,15.1,8,1
2011/5/6,16.0,8,1
2011/5/7,17.0,8,1
2011/5/8,20.6,8,1
2011/5/9,19.7,8,1
2011/5/10,22.8,8,1
2011/5/11,15.2,8,1
2011/5/12,15.6,8,1
2011/5/13,19.8,8,1
2011/5/14,20.1,8,1
2011/5/15,20.5,8,1
2011/5/16,20.3,8,1
2011/5/17,18.2,8,1
2011/5/18,19.4,8,1
2011/5/19,20.9,8,1
2011/5/20,22.0,8,1
2011/5/21,22.8,8,1
2011/5/22,20.8,8,1
2011/5/23,15.6,8,1
2011/5/24,14.6,8,1
2011/5/25,18.7,8,1
2011/5/26,19.3,8,1
2011/5/27,18.8,8,1
2011/5/28,18.4,8,1
2011/5/29,18.0,8,1
2011/5/30,17.4,8,1
2011/5/31,15.2,8,1
2011/6/1,15.2,8,1
2011/6/2,16.0,8,1
2011/6/3,19.8,8,1
2011/6/4,22.1,8,1
2011/6/5,22.2,8,1
2011/6/6,22.9,8,1
2011/6/7,21.6,8,1
2011/6/8,19.7,8,1
2011/6/9,21.8,8,1
2011/6/10,22.8,8,1
2011/6/11,22.2,8,1
2011/6/12,23.2,8,1
2011/6/13,20.9,8,1
2011/6/14,21.7,8,1
2011/6/15,21.3,8,1
2011/6/16,21.1,8,1
2011/6/17,19.2,8,1
2011/6/18,20.3,8,1
2011/6/19,21.8,8,1
2011/6/20,23.9,8,1
2011/6/21,25.5,8,1
2011/6/22,27.2,8,1
2011/6/23,28.2,8,1
2011/6/24,29.1,8,1
2011/6/25,24.3,8,1
2011/6/26,21.3,8,1
2011/6/27,22.3,8,1
2011/6/28,27.3,8,1
2011/6/29,29.8,8,1
2011/6/30,28.7,8,1
2011/7/1,28.7,8,1
2011/7/2,26.5,8,1
2011/7/3,27.6,8,1
2011/7/4,29.6,8,1
2011/7/5,28.0,8,1
2011/7/6,28.0,8,1
2011/7/7,26.8,8,1
2011/7/8,28.6,8,1
2011/7/9,29.4,8,1
2011/7/10,29.3,8,1
2011/7/11,29.2,8,1
2011/7/12,28.7,8,1
2011/7/13,28.6,8,1
2011/7/14,28.9,8,1
2011/7/15,29.4,8,1
2011/7/16,29.0,8,1
2011/7/17,29.6,8,1
2011/7/18,30.1,8,1
2011/7/19,27.9,8,1
2011/7/20,25.9,8,1
2011/7/21,20.7,8,1
2011/7/22,21.0,8,1
2011/7/23,23.1,8,1
2011/7/24,26.0,8,1
2011/7/25,27.6,8,1
2011/7/26,27.5,8,1
2011/7/27,28.3,8,1
2011/7/28,26.4,8,1
2011/7/29,26.5,8,1
2011/7/30,25.7,8,1
2011/7/31,23.5,8,1
2011/8/1,24.5,8,1
2011/8/2,25.5,8,1
2011/8/3,26.1,8,1
2011/8/4,27.4,8,1
2011/8/5,27.8,8,1
2011/8/6,29.0,8,1
2011/8/7,28.9,8,1
2011/8/8,29.3,8,1
2011/8/9,30.2,8,1
2011/8/10,30.5,8,1
2011/8/11,31.0,8,1
2011/8/12,31.2,8,1
2011/8/13,30.0,8,1
2011/8/14,30.0,8,1
2011/8/15,30.3,8,1
2011/8/16,30.3,8,1
2011/8/17,30.7,8,1
2011/8/18,31.9,8,1
2011/8/19,25.3,8,1
2011/8/20,23.7,8,1
2011/8/21,20.6,8,1
2011/8/22,21.2,8,1
2011/8/23,25.9,8,1
2011/8/24,28.1,8,1
2011/8/25,27.2,8,1
2011/8/26,26.2,8,1
2011/8/27,24.3,8,1
2011/8/28,25.6,8,1
2011/8/29,26.0,8,1
2011/8/30,26.3,8,1
2011/8/31,26.4,8,1
2011/9/1,28.5,8,1
2011/9/2,28.5,8,1
2011/9/3,28.0,8,1
2011/9/4,27.2,8,1
2011/9/5,26.5,8,1
2011/9/6,24.5,8,1
2011/9/7,24.9,8,1
2011/9/8,25.7,8,1
2011/9/9,27.8,8,1
2011/9/10,28.4,8,1
2011/9/11,27.7,8,1
2011/9/12,28.3,8,1
2011/9/13,28.3,8,1
2011/9/14,28.3,8,1
2011/9/15,28.3,8,1
2011/9/16,28.2,8,1
2011/9/17,28.0,8,1
2011/9/18,28.5,8,1
2011/9/19,25.7,8,1
2011/9/20,19.9,8,1
2011/9/21,22.2,8,1
2011/9/22,23.4,8,1
2011/9/23,20.3,8,1
2011/9/24,20.5,8,1
2011/9/25,20.2,8,1
2011/9/26,18.9,8,1
2011/9/27,20.2,8,1
2011/9/28,20.5,8,1
2011/9/29,21.9,8,1
2011/9/30,24.6,8,1
2011/10/1,22.2,8,1
2011/10/2,18.5,8,1
2011/10/3,18.8,8,1
2011/10/4,18.5,8,1
2011/10/5,15.9,8,1
2011/10/6,20.4,8,1
2011/10/7,21.1,8,1
2011/10/8,19.7,8,1
2011/10/9,20.1,8,1
2011/10/10,20.4,8,1
2011/10/11,21.2,8,1
2011/10/12,20.5,8,1
2011/10/13,20.5,8,1
2011/10/14,21.2,8,1
2011/10/15,24.3,8,1
2011/10/16,24.8,8,1
2011/10/17,21.5,8,1
2011/10/18,19.1,8,1
2011/10/19,15.9,8,1
2011/10/20,17.7,8,1
2011/10/21,18.3,8,1
2011/10/22,19.5,8,1
2011/10/23,22.7,8,1
2011/10/24,20.7,8,1
2011/10/25,21.8,8,1
2011/10/26,16.7,8,1
2011/10/27,15.2,8,1
2011/10/28,15.5,8,1
2011/10/29,16.0,8,1
2011/10/30,16.9,8,1
2011/10/31,18.7,8,1
2011/11/1,17.7,8,1
2011/11/2,17.2,8,1
2011/11/3,18.4,8,1
2011/11/4,18.4,8,1
2011/11/5,18.9,8,1
2011/11/6,18.1,8,1
2011/11/7,18.6,8,1
2011/11/8,15.7,8,1
2011/11/9,14.3,8,1
2011/11/10,14.1,8,1
2011/11/11,12.4,8,1
2011/11/12,16.4,8,1
2011/11/13,17.8,8,1
